#States        J         KA         KC     Energy
    1          1          0          1     23.799
    2          1          1          0     42.402
    3          2          1          2     79.513
    4          2          2          1    135.322
    5          3          0          3    136.890
    6          3          1          2    173.598
    7          3          2          1    212.628
    8          4          1          4    224.994
    9          3          3          0    287.537
   10          4          2          3    300.920
   11          5          0          5    325.789
   12          4          3          2    384.585
   13          5          1          4    400.670
   14          6          1          6    447.897
   15          5          2          3    448.098
   16          4          4          1    494.688
   17          5          3          2    511.234
   18          6          2          5    554.439
   19          7          0          7    587.370
   20          5          4          1    616.707
   21          6          3          4    651.971
   22          7          1          6    707.162
   23          8          1          8    745.852
   24          5          5          0    757.735
   25          6          4          3    763.327
   26          7          2          5    787.387
   27          7          3          4    847.989
   28          8          2          7    889.239
   29          6          5          2    903.768
   30          9          0          9    922.702
   31          7          4          3    938.944
   32          8          3          6   1012.269
   33          7          5          2   1075.111
   34          6          6          1   1076.531
   35          9          1          8   1084.551
   36         10          1         10   1118.168
   37          8          4          5   1132.111
   38          9          2          7   1212.266
   39          7          6          1   1246.771
   40          8          5          4   1271.474
   41          9          3          6   1296.584
   42         10          2          9   1300.675
   43         11          0         11   1332.162
   44          9          4          5   1374.699
   45          8          6          3   1442.066
   46          7          7          0   1451.092
   47         10          3          8   1458.068
   48          9          5          4   1496.108
   49         11          1         10   1534.297
   50         12          1         12   1564.718
   51         10          4          7   1597.945
   52          8          7          2   1645.532
   53          9          6          3   1662.856
   54         11          2          9   1707.663
   55         10          5          6   1741.216
   56         12          2         11   1786.844
   57         13          0         13   1815.823
   58         11          3          8   1839.060
   59          9          7          2   1864.978
   60          8          8          1   1881.415
   61         10          6          5   1909.013
   62         11          4          7   1928.836
   63         12          3         10   1982.828
   64         11          5          6   2029.722
   65         13          1         12   2057.757
   66         14          1         14   2085.484
   67          9          8          1   2100.067
   68         10          7          4   2109.671
   69         12          4          9   2153.661
   70         11          6          5   2182.843
   71         13          2         11   2272.979
   72         12          5          8   2311.364
   73         10          8          3   2343.672
   74         14          2         13   2347.269
   75          9          9          0   2367.500
   76         15          0         15   2373.699
   77         11          7          4   2379.993
   78         13          3         10   2454.662
   79         12          6          7   2479.327
   80         14          3         12   2583.056
   81         13          4          9   2586.529
   82         10          9          2   2610.369
   83         11          8          3   2612.449
   84         15          1         14   2655.298
   85         12          7          6   2675.954
   86         16          1         16   2680.468
   87         13          5          8   2685.455
   88         14          4         11   2791.383
   89         13          6          7   2814.127
   90         11          9          2   2878.155
   91         12          8          5   2906.629
   92         10         10          1   2909.347
   93         15          2         13   2910.957
   94         14          5         10   2975.705
   95         16          2         15   2981.880
   96         13          7          6   2999.162
   97         17          0         17   3005.792
   98         15          3         12   3137.363
   99         14          6          9   3152.657
  100         12          9          4   3171.042
  101         11         10          1   3176.436
  102         13          8          5   3226.550
  103         16          3         14   3257.613
  104         15          4         11   3323.540
  105         17          1         16   3327.005
  106         14          7          8   3346.538
  107         18          1         18   3349.671
  108         15          5         10   3454.723
  109         12         10          3   3468.413
  110         13          9          4   3489.241
  111         16          4         13   3505.847
  112         11         11          0   3506.955
  113         15          6          9   3568.225
  114         14          8          7   3572.311
  115         17          2         15   3622.668
  116         18          2         17   3690.680
  117         19          0         19   3712.105
  118         16          5         12   3725.720
  119         15          7          8   3728.419
  120         13         10          3   3785.442
  121         12         11          2   3798.267
  122         14          9          6   3832.973
  123         17          3         14   3890.730
  124         16          6         11   3924.190
  125         15          8          7   3945.042
  126         18          3         16   4006.282
  127         19          1         18   4072.905
  128         20          1         20   4093.093
  129         13         11          2   4114.445
  130         16          7         10   4122.075
  131         17          4         13   4125.988
  132         14         10          5   4127.701
  133         12         12          1   4160.325
  134         15          9          6   4202.540
  135         18          4         15   4294.866
  136         17          5         12   4312.591
  137         16          8          9   4342.947
  138         19          2         17   4408.405
  139         17          6         11   4444.573
  140         14         11          4   4455.633
  141         20          2         19   4473.680
  142         13         12          1   4475.862
  143         21          0         21   4492.637
  144         15         10          5   4495.390
  145         18          5         14   4554.435
  146         17          7         10   4579.010
  147         16          9          8   4598.098
  148         19          3         16   4717.074
  149         17          8          9   4772.707
  150         18          6         13   4785.496
  151         14         12          3   4816.245
  152         15         11          4   4821.990
  153         20          3         18   4829.065
  154         13         13          0   4869.456
  155         16         10          7   4888.724
  156         21          1         20   4893.006
  157         22          1         22   4910.736
  158         19          4         15   4996.064
  159         18          7         12   4999.324
  160         17          9          8   5020.456
  161         20          4         17   5157.900
  162         15         12          3   5181.607
  163         14         13          2   5209.219
  164         16         11          6   5213.689
  165         18          8         11   5219.905
  166         19          5         14   5237.229
  167         21          2         19   5268.259
  168         17         10          7   5307.972
  169         22          2         21   5330.885
  170         23          0         23   5347.390
  171         19          6         13   5420.838
  172         20          5         16   5458.248
  173         18          9         10   5468.637
  174         19          7         12   5557.680
  175         16         12          5   5572.088
  176         15         13          2   5573.813
  177         21          3         18   5617.146
  178         17         11          6   5630.922
  179         14         14          1   5634.349
  180         19          8         11   5719.281
  181         22          3         20   5725.992
