#States        J         KA         KC     Energy
    1          0          0          0      0.000
    2          1          1          1     37.158
    3          2          0          2     70.133
    4          2          1          1     95.245
    5          2          2          0    136.588
    6          3          1          3    142.331
    7          3          2          2    206.720
    8          4          0          4    222.310
    9          4          1          3    276.099
   10          3          3          1    287.340
   11          4          2          2    316.579
   12          5          1          5    326.971
   13          4          3          1    385.920
   14          5          2          4    417.119
   15          6          0          6    447.413
   16          4          4          0    494.713
   17          5          3          3    506.274
   18          6          1          5    544.916
   19          7          1          7    587.559
   20          6          2          4    605.742
   21          5          4          2    616.483
   22          6          3          3    665.045
   23          7          2          6    712.042
   24          8          0          8    745.781
   25          5          5          1    757.732
   26          6          4          2    764.401
   27          7          3          5    820.944
   28          8          1          7    886.960
   29          6          5          1    903.800
   30          9          1          9    922.728
   31          7          4          4    935.278
   32          8          2          6    990.412
   33          8          3          5   1059.175
   34          7          5          3   1074.924
   35          6          6          0   1076.531
   36          9          2          8   1085.548
   37         10          0         10   1118.159
   38          8          4          4   1141.911
   39          9          3          7   1224.951
   40          7          6          2   1246.767
   41          8          5          3   1272.246
   42         10          1          9   1300.259
   43         11          1         11   1332.166
   44          9          4          6   1353.279
   45          8          6          2   1442.095
   46          7          7          1   1451.092
   47         10          2          8   1451.429
   48          9          5          5   1493.585
   49         11          2         10   1534.465
   50         10          3          7   1557.545
   51         12          0         12   1564.716
   52         10          4          6   1637.483
   53          8          7          1   1645.533
   54          9          6          4   1662.719
   55         11          3          9   1710.870
   56         10          5          5   1748.051
   57         12          1         11   1786.779
   58         13          1         13   1815.824
   59          9          7          3   1864.974
   60         11          4          8   1865.093
   61          8          8          0   1881.415
   62         10          6          4   1909.534
   63         12          2         10   1981.367
   64         11          5          7   2014.030
   65         13          2         12   2057.783
   66         14          0         14   2085.484
   67          9          8          2   2100.067
   68         10          7          3   2109.692
   69         12          3          9   2138.537
   70         11          6          6   2181.184
   71         12          4          8   2246.228
   72         13          3         11   2273.615
   73         12          5          7   2342.291
   74         10          8          2   2343.673
   75         14          1         13   2347.260
   76          9          9          1   2367.500
   77         15          1         15   2373.699
   78         11          7          5   2379.900
   79         13          4         10   2462.683
   80         12          6          6   2483.865
   81         14          2         12   2582.789
   82         10          9          1   2610.369
   83         11          8          4   2612.446
   84         13          5          9   2632.286
   85         15          2         14   2655.302
   86         12          7          5   2676.293
   87         16          0         16   2680.468
   88         14          3         11   2787.422
   89         13          6          8   2803.302
   90         11          9          3   2878.154
   91         12          8          4   2906.644
   92         10         10          0   2909.347
   93         15          3         13   2911.067
   94         14          4         10   2946.481
   95         16          1         15   2981.879
   96         13          7          7   2998.104
   97         17          1         17   3005.792
   98         14          5          9   3057.268
   99         15          4         12   3139.217
  100         12          9          3   3171.043
  101         14          6          8   3175.287
  102         11         10          2   3176.436
  103         13          8          6   3226.489
  104         16          2         14   3257.569
  105         17          2         16   3327.006
  106         15          5         11   3340.513
  107         14          7          7   3349.450
  108         18          0         18   3349.671
  109         12         10          2   3468.414
  110         13          9          5   3489.238
  111         16          3         13   3505.015
  112         11         11          1   3506.955
  113         15          6         10   3526.627
  114         14          8          6   3572.525
  115         17          3         15   3622.685
  116         18          1         17   3690.680
  117         19          1         19   3712.105
  118         16          4         12   3716.640
  119         15          7          9   3721.276
  120         13         10          4   3785.442
  121         12         11          1   3798.267
  122         14          9          5   3832.984
  123         16          5         11   3874.306
  124         17          4         14   3891.092
  125         15          8          8   3944.382
  126         16          6         10   3992.138
  127         18          2         16   4006.275
  128         19          2         18   4072.905
  129         20          0         20   4093.093
  130         13         11          3   4114.445
  131         14         10          4   4127.701
  132         17          5         13   4130.543
  133         16          7          9   4137.737
  134         12         12          0   4160.325
  135         15          9          7   4202.501
  136         18          3         15   4294.713
  137         17          6         12   4344.193
  138         16          8          8   4344.771
  139         19          3         17   4408.407
  140         14         11          3   4455.633
  141         20          1         19   4473.680
  142         13         12          2   4475.862
  143         21          1         21   4492.637
  144         15         10          6   4495.388
  145         17          7         11   4548.380
  146         18          4         14   4552.260
  147         16          9          7   4598.231
  148         19          4         16   4717.138
  149         18          5         13   4767.163
  150         17          8         10   4768.141
  151         14         12          2   4816.245
  152         15         11          5   4821.990
  153         20          2         18   4829.064
  154         13         13          1   4869.456
  155         16         10          6   4888.730
  156         21          2         20   4893.006
  157         22          0         22   4910.736
  158         18          6         12   4922.085
  159         19          5         15   4997.064
  160         17          9          9   5020.052
  161         18          7         11   5052.765
  162         20          3         17   5157.874
  163         15         12          4   5181.607
  164         14         13          1   5209.219
  165         16         11          5   5213.689
  166         18          8         10   5230.285
  167         19          6         14   5247.096
  168         21          3         19   5268.259
  169         17         10          8   5307.948
  170         22          1         21   5330.885
  171         23          1         23   5347.390
  172         20          4         16   5457.803
  173         18          9          9   5469.758
  174         19          7         13   5473.807
  175         16         12          4   5572.088
  176         15         13          3   5573.813
  177         21          4         18   5617.156
  178         17         11          7   5630.921
  179         14         14          0   5634.349
  180         19          8         12   5697.898
  181         20          5         15   5723.207
  182         22          2         20   5725.992
  183         18         10          8   5753.406
  184         23          2         22   5787.316
  185         24          0         24   5802.600
  186         20          6         14   5937.325
  187         21          5         17   5937.908
  188         19          9         11   5944.066
  189         16         13          3   5963.358
  190         17         12          6   5987.842
  191         15         14          2   5998.338
  192         18         11          7   6073.898
  193         20          7         13   6090.813
  194         22          3         19   6094.911
  195         23          3         21   6202.267
  196         19         10         10   6225.138
  197         21          6         16   6228.315
  198         20          8         12   6241.178
  199         24          1         23   6262.300
  200         25          1         25   6276.364
  201         17         13          5   6377.982
